index,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-12-10,92695.234375,94477.15625,91640.1328125,92020.9453125,65420694513,0.0,0.0,BTC-USD
2025-12-11,92011.3046875,93554.265625,89335.296875,92511.3359375,64532834621,0.0,0.0,BTC-USD
2025-12-12,92513.6640625,92747.9296875,89532.6015625,90270.4140625,80275884583,0.0,0.0,BTC-USD
2025-12-13,90257.796875,90647.5703125,89800.9921875,90298.7109375,64237748110,0.0,0.0,BTC-USD
2025-12-14,90296.4375,90498.109375,87634.9375,88175.1796875,50465972205,0.0,0.0,BTC-USD
2025-12-15,88171.078125,89983.921875,85304.078125,86419.78125,45559514323,0.0,0.0,BTC-USD
2025-12-16,86424.40625,88170.09375,85381.6875,87843.984375,41262178223,0.0,0.0,BTC-USD
2025-12-17,87847.6171875,90264.5703125,85316.265625,86143.7578125,44243392914,0.0,0.0,BTC-USD
2025-12-18,86144.3671875,89412.6640625,84436.3125,85462.5078125,52667115348,0.0,0.0,BTC-USD
2025-12-19,85476.1328125,89339.1171875,85107.6640625,88103.3828125,46733310561,0.0,0.0,BTC-USD
2025-12-20,88101.671875,88497.203125,87924.875,88344.0,14688196659,0.0,0.0,BTC-USD
2025-12-21,88344.703125,89027.953125,87613.203125,88621.75,19845522660,0.0,0.0,BTC-USD
2025-12-22,88621.3984375,90501.9296875,87908.0703125,88490.015625,38047472118,0.0,0.0,BTC-USD
2025-12-23,88490.03125,88898.3828125,86606.9765625,87414.0,43683011533,0.0,0.0,BTC-USD
2025-12-24,87404.3203125,87956.8828125,86411.796875,87611.9609375,25550297986,0.0,0.0,BTC-USD
2025-12-25,87608.3203125,88501.7890625,86949.2578125,87234.7421875,19953216347,0.0,0.0,BTC-USD
2025-12-26,87235.5078125,89459.4296875,86628.140625,87301.4296875,42455674908,0.0,0.0,BTC-USD
2025-12-27,87301.4296875,87874.78125,87182.9765625,87802.15625,13741199310,0.0,0.0,BTC-USD
2025-12-28,87799.34375,87986.890625,87394.953125,87835.8359375,15156557929,0.0,0.0,BTC-USD
2025-12-29,87835.7890625,90299.15625,86717.9140625,87138.140625,48411625849,0.0,0.0,BTC-USD
2025-12-30,87134.3515625,89297.9375,86735.546875,88430.1328125,35586356225,0.0,0.0,BTC-USD
2025-12-31,88429.5859375,89080.2890625,87130.5625,87508.828125,33830210616,0.0,0.0,BTC-USD
2026-01-01,87508.046875,88803.2265625,87399.40625,88731.984375,18849043990,0.0,0.0,BTC-USD
2026-01-02,88733.0625,90884.4609375,88298.6171875,89944.6953125,46398906171,0.0,0.0,BTC-USD
2026-01-03,89945.0546875,90679.5703125,89328.0703125,90603.1875,20774828592,0.0,0.0,BTC-USD
2026-01-04,90603.0,91712.5859375,90595.1015625,91413.4921875,26770491368,0.0,0.0,BTC-USD
