Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-11-11,269.8099975585937,275.9100036621094,269.79998779296875,275.25,46208300,0.0,0.0,AAPL
2025-11-11,503.85694933091565,508.64800052182136,501.411544557113,507.7297058105469,17980000,0.0,0.0,MSFT
2025-11-11,439.3999938964844,442.489990234375,432.3599853515625,439.6199951171875,60533200,0.0,0.0,TSLA
2025-11-12,275.0,275.7300109863281,271.70001220703125,273.4700012207031,48398000,0.0,0.0,AAPL
2025-11-12,508.4084461357136,510.7141588310794,498.18758530403636,510.1851501464844,26574900,0.0,0.0,MSFT
2025-11-12,442.1499938964844,442.3299865722656,426.55999755859375,430.6000061035156,58513500,0.0,0.0,TSLA
2025-11-13,274.1099853515625,276.70001220703125,272.0899963378906,272.95001220703125,49602800,0.0,0.0,AAPL
2025-11-13,509.3566671737073,512.54071024479,500.3535287599438,502.34979248046875,25273100,0.0,0.0,MSFT
2025-11-13,423.1300048828125,424.5,396.3399963378906,401.989990234375,118948000,0.0,0.0,TSLA
2025-11-14,271.04998779296875,275.9599914550781,269.6000061035156,272.4100036621094,47431300,0.0,0.0,AAPL
2025-11-14,497.2992409027003,510.644258818196,496.51070821491913,509.2268981933594,28505700,0.0,0.0,MSFT
2025-11-14,386.2999877929688,412.1900024414063,382.7799987792969,404.3500061035156,105506700,0.0,0.0,TSLA
2025-11-17,268.82000732421875,270.489990234375,265.7300109863281,267.4599914550781,45018300,0.0,0.0,AAPL
2025-11-17,507.5001596757347,511.16328656765256,503.9667643395777,506.54193115234375,19092800,0.0,0.0,MSFT
2025-11-17,398.739990234375,423.9599914550781,398.739990234375,408.9200134277344,102214300,0.0,0.0,TSLA
2025-11-18,269.989990234375,270.7099914550781,265.32000732421875,267.44000244140625,45677300,0.0,0.0,AAPL
2025-11-18,494.44458869198826,502.0403882023454,485.87063942574486,492.8675537109375,33815100,0.0,0.0,MSFT
2025-11-18,405.3800048828125,408.8999938964844,393.7099914550781,401.25,80688600,0.0,0.0,TSLA
2025-11-19,265.5299987792969,272.2099914550781,265.5,268.5599975585937,40424500,0.0,0.0,AAPL
2025-11-19,489.18443539234676,494.264922953439,481.9279972054541,486.2099914550781,23245300,0.0,0.0,MSFT
2025-11-19,406.1799926757813,411.7799987792969,398.5,403.989990234375,72047700,0.0,0.0,TSLA
2025-11-20,270.8299865722656,275.42999267578125,265.9200134277344,266.25,45823600,0.0,0.0,AAPL
2025-11-20,492.7099914550781,493.57000732421875,475.5,478.42999267578125,26802500,0.91,0.0,MSFT
2025-11-20,414.6300048828125,428.9400024414063,394.739990234375,395.2300109863281,113548800,0.0,0.0,TSLA
2025-11-21,265.95001220703125,273.3299865722656,265.6700134277344,271.489990234375,59030800,0.0,0.0,AAPL
2025-11-21,478.5,478.9200134277344,468.2699890136719,472.1199951171875,31769200,0.0,0.0,MSFT
2025-11-21,402.3200073242188,402.7999877929688,383.760009765625,391.0899963378906,100460600,0.0,0.0,TSLA
2025-11-24,270.8999938964844,277.0,270.8999938964844,275.9200134277344,65585800,0.0,0.0,AAPL
2025-11-24,475.0,476.8999938964844,468.0199890136719,474.0,34421000,0.0,0.0,MSFT
2025-11-24,402.1700134277344,421.7200012207031,401.0899963378906,417.7799987792969,96806400,0.0,0.0,TSLA
2025-11-25,275.2699890136719,280.3800048828125,275.25,276.9700012207031,46914200,0.0,0.0,AAPL
2025-11-25,474.07000732421875,479.1499938964844,464.8900146484375,476.989990234375,28019800,0.0,0.0,MSFT
2025-11-25,414.4200134277344,420.4800109863281,405.9500122070313,419.3999938964844,71915600,0.0,0.0,TSLA
2025-11-26,276.9599914550781,279.5299987792969,276.6300048828125,277.54998779296875,33431400,0.0,0.0,AAPL
2025-11-26,486.30999755859375,488.30999755859375,481.20001220703125,485.5,25709100,0.0,0.0,MSFT
2025-11-26,423.9500122070313,426.9400024414063,416.8900146484375,426.5799865722656,63463000,0.0,0.0,TSLA
2025-11-28,277.260009765625,279.0,275.989990234375,278.8500061035156,20135600,0.0,0.0,AAPL
2025-11-28,487.6000061035156,492.6300048828125,486.6499938964844,492.010009765625,14386700,0.0,0.0,MSFT
2025-11-28,426.5899963378906,432.9299926757813,426.2000122070313,430.1700134277344,36252900,0.0,0.0,TSLA
2025-12-01,278.010009765625,283.4200134277344,276.1400146484375,283.1000061035156,46587700,0.0,0.0,AAPL
2025-12-01,488.44000244140625,489.8599853515625,484.6499938964844,486.739990234375,23964000,0.0,0.0,MSFT
2025-12-01,425.3200073242188,433.6600036621094,425.2900085449219,430.1400146484375,57463600,0.0,0.0,TSLA
2025-12-02,283.0,287.3999938964844,282.6300048828125,286.19000244140625,53669500,0.0,0.0,AAPL
2025-12-02,486.7200012207031,493.5,486.32000732421875,490.0,19562700,0.0,0.0,MSFT
2025-12-02,430.80999755859375,436.7999877929688,422.1199951171875,429.239990234375,69336600,0.0,0.0,TSLA
2025-12-03,286.20001220703125,288.6199951171875,283.29998779296875,284.1499938964844,43538700,0.0,0.0,AAPL
2025-12-03,476.32000732421875,484.239990234375,475.20001220703125,477.7300109863281,34615100,0.0,0.0,MSFT
2025-12-03,432.1000061035156,447.9200134277344,431.1099853515625,446.739990234375,87483000,0.0,0.0,TSLA
2025-12-04,284.1000061035156,284.7300109863281,278.5899963378906,280.70001220703125,43989100,0.0,0.0,AAPL
2025-12-04,479.760009765625,481.32000732421875,476.489990234375,480.8399963378906,22318200,0.0,0.0,MSFT
2025-12-04,449.9400024414063,454.6300048828125,445.3900146484375,454.5299987792969,71906500,0.0,0.0,TSLA
2025-12-05,280.5400085449219,281.1400146484375,278.04998779296875,278.7799987792969,47265800,0.0,0.0,AAPL
2025-12-05,482.5199890136719,483.3999938964844,478.8800048828125,483.1600036621094,22608700,0.0,0.0,MSFT
2025-12-05,453.0299987792969,458.8699951171875,451.6600036621094,455.0,56427500,0.0,0.0,TSLA
2025-12-08,278.1300048828125,279.6700134277344,276.1499938964844,277.8900146484375,38211800,0.0,0.0,AAPL
2025-12-08,484.8900146484375,492.29998779296875,484.3800048828125,491.0199890136719,21965900,0.0,0.0,MSFT
2025-12-08,447.4500122070313,449.75,435.25,439.5799865722656,69165800,0.0,0.0,TSLA
2025-12-09,278.1600036621094,280.0299987792969,276.9200134277344,277.17999267578125,32193300,0.0,0.0,AAPL
2025-12-09,489.1000061035156,492.1199951171875,488.5,492.0199890136719,14696100,0.0,0.0,MSFT
2025-12-09,437.5400085449219,452.3900146484375,435.7000122070313,445.1700134277344,62367400,0.0,0.0,TSLA
2025-12-10,277.75,279.75,276.44000244140625,278.7799987792969,33038300,0.0,0.0,AAPL
2025-12-10,484.0299987792969,484.25,475.0799865722656,478.55999755859375,35756200,0.0,0.0,MSFT
2025-12-10,446.0700073242188,456.8800048828125,443.6099853515625,451.4500122070313,63257500,0.0,0.0,TSLA
2025-12-11,279.1000061035156,279.5899963378906,273.8099975585937,278.0299987792969,33248000,0.0,0.0,AAPL
2025-12-11,476.6300048828125,486.0299987792969,475.8599853515625,483.4700012207031,24669200,0.0,0.0,MSFT
