season_code,league_name,division,Date,HomeTeam,AwayTeam,home_score,away_score,result,home_score_ht,away_score_ht,result_ht,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red
1617,Ligue 1,F1,2016-09-17,Toulouse,Guingamp,2,1,H,0,0,D,13,5,5,3,8,1,18,11,4,3,0,1
1617,Ligue 1,F1,2016-09-18,Marseille,Lyon,0,0,D,0,0,D,13,14,2,1,6,1,16,12,3,2,0,0
1617,Ligue 1,F1,2016-09-18,Montpellier,Nice,1,1,D,0,0,D,15,9,5,4,6,3,18,12,1,1,0,0
1617,Ligue 1,F1,2016-09-18,St Etienne,Bastia,1,0,H,0,0,D,13,9,3,3,4,4,19,11,2,4,0,0
1617,Ligue 1,F1,2016-09-20,Lille,Toulouse,1,2,A,1,1,D,19,7,5,2,5,3,13,21,2,5,0,0
1617,Ligue 1,F1,2016-09-20,Paris SG,Dijon,3,0,H,2,0,H,8,8,4,4,5,4,8,7,1,0,0,0
1617,Ligue 1,F1,2016-09-21,Angers,Caen,2,1,H,1,0,H,13,6,5,1,1,4,12,11,0,1,0,0
1617,Ligue 1,F1,2016-09-21,Bastia,Nancy,0,0,D,0,0,D,10,4,5,2,5,3,12,19,0,0,0,0
1617,Ligue 1,F1,2016-09-21,Guingamp,Lorient,1,0,H,0,0,D,8,13,4,3,4,7,10,14,1,2,0,0
1617,Ligue 1,F1,2016-09-21,Lyon,Montpellier,5,1,H,2,1,H,16,8,8,2,11,1,10,15,0,1,0,1
1617,Ligue 1,F1,2016-09-21,Metz,Bordeaux,0,3,A,0,1,A,12,20,4,7,1,6,16,4,2,0,0,0
1617,Ligue 1,F1,2016-09-21,Nantes,St Etienne,0,0,D,0,0,D,17,6,6,0,6,2,16,14,4,0,0,1
1617,Ligue 1,F1,2016-09-21,Nice,Monaco,4,0,H,2,0,H,9,17,7,7,2,6,12,16,1,1,0,1
1617,Ligue 1,F1,2016-09-21,Rennes,Marseille,3,2,H,1,1,D,13,8,5,4,4,4,11,24,1,1,0,1
1617,Ligue 1,F1,2016-09-23,Toulouse,Paris SG,2,0,H,0,0,D,11,12,3,3,3,7,12,11,3,1,0,1
1617,Ligue 1,F1,2016-09-24,Bastia,Guingamp,1,0,H,0,0,D,11,3,6,3,5,1,17,17,1,1,1,1
1617,Ligue 1,F1,2016-09-24,Bordeaux,Caen,0,0,D,0,0,D,12,13,2,4,4,5,7,16,0,2,0,0
1617,Ligue 1,F1,2016-09-24,Dijon,Rennes,3,0,H,2,0,H,15,19,5,4,7,3,7,12,1,1,0,0
1617,Ligue 1,F1,2016-09-24,Lorient,Lyon,1,0,H,0,0,D,11,18,2,8,3,8,13,8,2,1,0,0
1617,Ligue 1,F1,2016-09-24,Monaco,Angers,2,1,H,0,0,D,13,11,4,4,12,7,10,9,1,1,0,0
1617,Ligue 1,F1,2016-09-24,Montpellier,Metz,0,1,A,0,1,A,16,4,2,3,7,5,14,20,2,3,0,0
1617,Ligue 1,F1,2016-09-25,Marseille,Nantes,2,1,H,1,1,D,14,13,5,4,5,5,13,17,1,3,0,0
1617,Ligue 1,F1,2016-09-25,Nancy,Nice,0,1,A,0,0,D,15,13,0,4,6,2,17,16,3,1,0,0
1617,Ligue 1,F1,2016-09-25,St Etienne,Lille,3,1,H,0,0,D,9,12,3,3,4,5,17,15,3,1,0,1
1617,Ligue 1,F1,2016-09-30,Rennes,Guingamp,1,0,H,0,0,D,13,6,3,1,6,2,10,12,2,1,0,1
1617,Ligue 1,F1,2016-10-01,Caen,Toulouse,1,0,H,0,0,D,12,9,3,1,4,2,11,17,1,6,0,0
1617,Ligue 1,F1,2016-10-01,Dijon,Montpellier,3,3,D,1,2,A,8,15,6,6,5,4,12,12,2,2,0,0
1617,Ligue 1,F1,2016-10-01,Lille,Nancy,1,0,H,0,0,D,14,5,4,3,8,4,14,12,2,3,0,0
1617,Ligue 1,F1,2016-10-01,Metz,Monaco,0,7,A,0,3,A,14,14,2,9,7,4,14,12,2,1,1,0
1617,Ligue 1,F1,2016-10-01,Nantes,Bastia,1,0,H,1,0,H,20,12,8,6,3,2,19,9,4,3,0,0
1617,Ligue 1,F1,2016-10-01,Paris SG,Bordeaux,2,0,H,2,0,H,14,6,7,2,11,2,8,9,1,1,0,0
1617,Ligue 1,F1,2016-10-02,Angers,Marseille,1,1,D,0,0,D,17,9,5,2,3,7,6,12,1,0,0,0
1617,Ligue 1,F1,2016-10-02,Lyon,St Etienne,2,0,H,1,0,H,14,11,7,3,7,7,18,15,3,1,0,0
1617,Ligue 1,F1,2016-10-02,Nice,Lorient,2,1,H,1,0,H,8,17,2,4,3,5,9,14,2,3,1,0
1617,Ligue 1,F1,2016-10-14,Nice,Lyon,2,0,H,1,0,H,16,4,6,3,1,4,13,22,3,3,0,1
1617,Ligue 1,F1,2016-10-14,Toulouse,Monaco,3,1,H,0,1,A,17,4,6,1,6,1,14,17,2,1,0,0
1617,Ligue 1,F1,2016-10-15,Bastia,Angers,1,2,A,1,1,D,12,7,3,3,6,4,8,11,2,0,0,0
1617,Ligue 1,F1,2016-10-15,Guingamp,Lille,1,0,H,1,0,H,13,12,4,3,7,0,13,21,1,0,0,0
1617,Ligue 1,F1,2016-10-15,Lorient,Nantes,1,2,A,0,1,A,15,5,5,3,6,1,12,9,4,4,0,0
1617,Ligue 1,F1,2016-10-15,Montpellier,Caen,3,2,H,1,1,D,11,12,7,5,5,2,13,6,0,0,1,0
1617,Ligue 1,F1,2016-10-15,Nancy,Paris SG,1,2,A,0,2,A,6,7,3,3,4,1,16,10,1,1,0,0
1617,Ligue 1,F1,2016-10-16,Marseille,Metz,1,0,H,1,0,H,16,11,6,1,2,6,14,10,1,2,0,0
1617,Ligue 1,F1,2016-10-16,Rennes,Bordeaux,1,1,D,1,0,H,15,7,4,1,8,3,15,11,1,2,0,0
1617,Ligue 1,F1,2016-10-16,St Etienne,Dijon,1,1,D,0,1,A,17,11,3,3,10,4,11,8,1,3,0,1
1617,Ligue 1,F1,2016-10-21,Monaco,Montpellier,6,2,H,1,1,D,14,9,9,3,6,2,14,10,2,0,0,0
1617,Ligue 1,F1,2016-10-22,Angers,Toulouse,0,0,D,0,0,D,11,6,3,2,4,2,14,12,2,4,0,0
1617,Ligue 1,F1,2016-10-22,Bordeaux,Nancy,1,1,D,0,0,D,12,11,2,3,5,4,12,16,1,3,0,0
1617,Ligue 1,F1,2016-10-22,Dijon,Lorient,1,0,H,0,0,D,13,15,3,5,5,5,7,14,1,2,0,0
1617,Ligue 1,F1,2016-10-22,Lille,Bastia,2,1,H,0,0,D,17,5,8,1,8,4,17,20,3,1,0,0
1617,Ligue 1,F1,2016-10-22,Lyon,Guingamp,1,3,A,1,0,H,18,6,6,5,9,5,13,20,1,3,0,0
